Producer,Wine Name,Award,Score,Country,Region,Sub-region,Vintage,Colour,
Kono,Tohu Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Awatere Valley,2022,White,
Kono,Tohu Unoaked Chardonnay,Silver,90,New Zealand,Marlborough,Wairau Valley,2022,White,
Kono,Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Hunter's,Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Marks & Spencer Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Origin Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Vicar's Choice Pinot Gris,Bronze,88,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Origin,Silver,90,New Zealand,Marlborough,Not Applicable,2022,Rosé,
Saint Clair Family Estate,Pioneer Rosé,Silver,90,New Zealand,Marlborough,Not Applicable,2022,Rosé,
Asda,Extra Special Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Summerhouse,Sauvignon Blanc,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Reverend Sloane Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,White,
Saint Clair Family Estate,Pioneer Block 29 Blind Block Albarino,Bronze,89,New Zealand,Marlborough,Awatere Valley,2022,White,
Saint Clair Family Estate,Pioneer Block 3 43 Degrees Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Dillons Point,2022,White,
Saint Clair Family Estate,Pioneer Block 20 Cash Block Sauvignon Blanc,Silver,94,New Zealand,Marlborough,Dillons Point,2022,White,
Saint Clair Family Estate,Pioneer Block 6 Oh! Block Sauvignon Blanc,Silver,94,New Zealand,Marlborough,Rapaura,2022,White,
Saint Clair Family Estate,Reserve Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Wairau Valley,2022,White,
Saint Clair Family Estate,Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Wairau Valley,2022,White,
Rapaura Springs,Rohe Sauvignon Blanc,Bronze,88,New Zealand,Marlborough,Dillons Point,2022,White,
Rapaura Springs,Bull Paddock Vineyard Sauvignon Blanc,Gold,96,New Zealand,Marlborough,Dillons Point,2022,White,
Otu Wines,Limited Release Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Otu,Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Not Applicable,2022,White,
Oyster Bay,Sauvignon Blanc,Bronze,86,New Zealand,Marlborough,Not Applicable,2022,White,
Oyster Bay,Pinot Gris,Bronze,88,New Zealand,Hawke's Bay,Not Applicable,2022,White,
Oyster Bay,Rosé,Silver,90,New Zealand,Marlborough,Not Applicable,2022,Rosé,
Invivo,X Sjp Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Babich,Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Babich,Black Label Sauvignon Blanc,Silver,93,New Zealand,Marlborough,Not Applicable,2022,White,
Babich,Single Vineyard Organic Sauvignon Blanc,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Rimapere,Sauvignon Blanc,Silver,94,New Zealand,Marlborough,Not Applicable,2022,White,
Asda,Extra Special Awatere Sauvignon Blanc,Silver,92,New Zealand,Marlborough,Awatere Valley,2022,White,
Spy Valley Wines,S Block Syrah,Bronze,89,New Zealand,Marlborough,Southern Valleys,NV,Red,
no.1 Family Estate,Assemblé Brut,Bronze,86,New Zealand,Marlborough,Not Applicable,NV,White,
Family Estate,No1,Silver,94,New Zealand,Marlborough,Not Applicable,NV,Rosé,
Mumm Marlborough,Prestige Cuvee Brut,Silver,90,New Zealand,Marlborough,Not Applicable,NV,White,
Oyster Bay,Cuvée Rosé,Bronze,87,New Zealand,Not Applicable,Not Applicable,NV,Rosé,
Oyster Bay,Cuvée Brut,Bronze,89,New Zealand,Hawke's Bay,Not Applicable,NV,White,
Spy Valley Wines,Echelon Brut,Silver,91,New Zealand,Marlborough,Not Applicable,2020,White,
Marisco Vineyards,Diamond Heart Wahopai Cuvée Brut,Silver,93,New Zealand,Marlborough,Waihopai Valley,2018,White,
Marisco Vineyards,Diamond Heart Blanc De Blancs Brut,Silver,90,New Zealand,Not Applicable,Not Applicable,2018,White,
Rose Brut,Rose Brut,Silver,90,New Zealand,Marlborough,Awatere Valley,2017,Rosé,
Spy Valley Wines,Gewurztraminer,Bronze,88,New Zealand,Marlborough,Waihopai Valley,2022,White,
Spy Valley Wines,Riesling,Bronze,88,New Zealand,Marlborough,Waihopai Valley,2022,White,
Stoneleigh,Riesling,Silver,91,New Zealand,Marlborough,Not Applicable,2022,White,
Sileni,Grand Reserve Straits Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Not Applicable,2022,White,
Giesen Group,Ara Single Estate Pinot Gris,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Brancott Estate,Flight Pinot Gris,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Mc Arthur Ridge,Lilico Pinot Noir Rosé,Bronze,88,New Zealand,Central Otago,Alexandra Basin,2022,Rosé,
Mc Arthur Ridge,Falls Dam Pinot Gris,Bronze,88,New Zealand,Central Otago,Alexandra Basin,2022,White,
Forrest Wines,Albariño,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Forrest Wines,The Doctors' Rosé,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,Rosé,
Lake Chalice,The Nest Pinot Gris,Bronze,87,New Zealand,Marlborough,Not Applicable,2022,White,
Lake Chalice,The Falcon Riesling,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Rapaura Springs,Rohe Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Rapaura,2022,White,
Rapaura Springs,Rohe Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Blind River,2022,White,
Asda,Kakapo White,Bronze,88,New Zealand,South Island,Not Applicable,2022,White,
Rapaura Springs,Reserve Sauvignon Blanc,Bronze,89,New Zealand,Marlborough,Not Applicable,2022,White,
Marisco Vineyards,The Ned Noble Sauvignon Blanc,Silver,90,New Zealand,Marlborough,Waihopai Valley,2022,White,
Giesen Group,Gemstone Riesling,Bronze,88,New Zealand,Marlborough,Not Applicable,2021,White,
Greystone Wines,Organic Riesling,Silver,94,New Zealand,Waipara,Not Applicable,2019,White,
Saint Clair Family Estate,Pioneer Block 9 Big John Riesling,Silver,94,New Zealand,Marlborough,Brancott,2020,White,
Giesen Group,Riesling,Bronze,88,New Zealand,Not Applicable,Not Applicable,2022,White,
